Loss 15.4392, Prob 0.0009913563 
Loss 16.3525, Prob 0.0034467038 
Loss 12.8070, Prob 0.0009924212 
Loss 14.3411, Prob 0.002829707 
Loss 13.5722, Prob 0.0029579988 
Loss 11.3686, Prob 0.0024983352 
Loss 14.2515, Prob 0.0011053625 
Loss 11.7881, Prob 0.0015506318 
Loss nan, Prob 8.335758e-05 
Loss 13.6955, Prob 0.0008809311 
Loss nan, Prob 0.0010319228 
Loss nan, Prob 4.957259e-05 
Loss 9.6413, Prob 0.00084978953 
Loss 13.6989, Prob 0.0030344771 
Loss nan, Prob 0.00012212218 
Loss nan, Prob 0.0010933732 
Loss 11.4111, Prob 0.004262834 
Loss nan, Prob 0.0007662698 
Loss nan, Prob 0.0009995846 
Loss nan, Prob 0.0010026533 
Loss 12.6183, Prob 0.001768694 
Loss nan, Prob 0.00014938817 
Loss 12.4940, Prob 0.0018777429 
Loss 11.7555, Prob 0.0019156472 
Loss nan, Prob 0.00012063136 
Loss 15.6532, Prob 0.0019294097 
Loss 15.2841, Prob 0.002803839 
Loss nan, Prob 0.00013933874 
Loss 14.6940, Prob 0.0011841492 
Loss 13.6216, Prob 0.0024689995 
Loss 13.4976, Prob 0.0021553277 
Loss 17.5632, Prob 0.0011532045 
Loss 11.5810, Prob 0.002114892 
Loss 11.1955, Prob 0.0011542183 
Loss nan, Prob 2.4483546e-05 
Loss nan, Prob 0.0008322942 
Loss 11.5676, Prob 0.0029004663 
Loss 14.1382, Prob 0.00093269296 
Loss nan, Prob 0.0011135149 
Loss nan, Prob 0.0010109618 
Loss nan, Prob 0.0010487315 
Loss 12.7051, Prob 0.00118347 
Loss 9.1189, Prob 0.0010767913 
Loss nan, Prob 9.0962836e-05 
Loss nan, Prob 4.4972046e-05 
Loss 5.5274, Prob 0.0031047803 
Loss 9.8059, Prob 0.0015838424 
Loss nan, Prob 0.0010974046 
Loss 17.3021, Prob 0.0010763672 
Loss nan, Prob 0.0010975898 
Loss 12.1786, Prob 0.0023758626 
Loss 13.5825, Prob 0.002649574 
Loss 14.3452, Prob 0.0011644594 
Loss 11.8578, Prob 0.0011577865 
Loss 13.1203, Prob 0.0021111416 
Loss nan, Prob 6.4941094e-05 
Loss 9.5665, Prob 0.00419309 
Loss 12.9860, Prob 0.001137286 
